smiles	generation
CCNC	1
OCCN1CCN(CC1)C1=Nc2ccccc2Sc2ccccc12	1
CCOc1ccc(Cc2cc(ccc2Cl)C(=O)C(O)C(O)C(O)C(O)CO)cc1	1
CC=O	1
CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OP(=O)(C)C)C)C)O)OC)C)C)C)OC	1
Oc1ccc2CC3N(CC=C)CCC45C(Oc1c24)C(CCC35O)OCCOCCOCC=O	1
COc1ccc(CC(CC(N)C(O)CC(C(C)C)C(=O)NCC(C)(C)C(N)=O)C(C)C)cc1OCCCO	1
Cc1ccc(cc1Cc1ccc(s1)-c1ccc(F)cc1)C1OC(CO)C(O)C(O)C1=O	1
COC1CC(CC(C)C2CC(=O)C(C)C=C(C)C(=O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C(C)C(CC3CCC(C)C(O)(O3)C(=O)C(=O)N3CCCCC3C(=O)O2)OC)CCC1OP(C)(C)=O	1
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(=O)CC2(C)C1(OC(=O)c1ccco1)C(=O)CCl	1
Nc1cc(Cl)c(cc1S(=O)(=O)NC=O)S(N)(=O)=O	1
C1CC(N(C1)C(=O)CNC23CC4CC(C2)CC(C4)(C3)O)C#N	1
CCCSc1nc(NC2CC2c2ccc(F)c(F)c2)c2nnn(C3CC(OCCO)C(=O)C3O)c2n1	1
C1=CC(=CC=C1CCC2=CNC3=C2C(=O)NC(=N3)N)C(=O)NC(CCC(=O)O)C(=O)O	1
Oc1c(Cl)cc2c(NC(=O)OC2(C#CC2CC2)C(F)(F)F)c1O	1
CNCC1N(CC=O)c2ncccc2Cc2ccccc12	1
CC1CC(O)OC2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12	1
COC(=O)NC(C(=O)NN(CC(O)C(N)Cc1ccccc1)Cc1ccc(cc1)-c1ccccn1)C(C)(C)C	1
CCCSc1nc(NC2CC2c2ccc(F)c(F)c2)c2nnn(C3CC(OCC=O)C(O)C3O)c2n1	1
COCCOCCO	1
CNC(=N)N=C(N)N	1
Cc1[nH]c2ccccc2c1CC=O	1
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1(O)C(=O)CCl	1
CNCCC(Oc1cccc2ccccc12)c1cccs1=O	1
COC(=O)NC(C(=O)NN(CC(O)C(Cc1ccccc1)NC(=O)C(N)C(C)(C)C)Cc1ccc(cc1)-c1ccccn1)C(C)(C)C	1
Nc1c(F)cccc1Cl	1
Oc1ccc2CC3N(CC=C)CCC45C(Oc1c24)C(CCC35O)OCC=O	1
[O-]C(=O)Nc1ccc(Cl)c(c1)C(F)(F)F	1
CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N	1
CC1=CC=CC=C1OC(CCNC)C2=CC=CC=C2	1
Cc1cc(O)c(O)c(CC([O-])=O)c1	1
CN1CCN2C(C1)c1ccccc1Cc1cc(O)c(O)nc21	1
OCCOCCN1CCN(CC1)C1=Nc2ccccc2S(=O)c2ccccc12	1
N	1
Cc1ccc(cc1Cc1ccc(s1)-c1ccc(F)cc1)C1OC(C=O)C(O)C(O)C1O	1
CN(CC=CC#CC(C)(C)C)Cc1cccc2ccc(O)c(O)c12	1
ONC(=O)C=Cc1ccc(C=O)cc1	1
CCOc1ccc(Cc2cc(ccc2Cl)C2OC(CO)C(O)C(O)C2=O)cc1	1
Cc1cccc(Cl)c1N	1
COc1ccc(CC(CC(N)C(O)CC(C(C)C)C(=O)NCC(C)(C)C(N)=O)C(C)C)cc1OCCC=O	1
CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5	1
OCCOCCOCCOC1CCC2(O)C3Cc4ccc(O)c5OC1C2(CCN3CC=C)c45	1
Oc1c(C2CCC(CC2)c2ccc(Cl)cc2)c(=O)oc(=O)c2ccccc12	1
OCC1OC(C(O)C(O)C1O)c1ccc(Cl)c(Cc2ccc(O)cc2)c1	1
CCCCCCCCCCCC(CC1OC(=O)C1CCCCCC)OC(=O)C(N)CC(C)C	1
COCCCOc1cc(CC(CC(N)C(=O)CC(C(C)C)C(=O)NCC(C)(C)C(N)=O)C(C)C)ccc1OC	1
CC(N(C)C)c1cccc(O)c1	1
