	Generation threshold	Precision (in %)	Correctly predicted TPs	Prediction method	Predicted compounds
0	0	0.0	0	EAWAG-PPS	0
1	1	6.551724137931035	19	EAWAG-PPS	290
2	2	3.5343035343035343	34	EAWAG-PPS	962
3	3	1.7515274949083504	43	EAWAG-PPS	2455
4	4	1.7515274949083504	43	EAWAG-PPS	2455
5	5	1.7515274949083504	43	EAWAG-PPS	2455
6	6	1.7515274949083504	43	EAWAG-PPS	2455
7	7	1.7515274949083504	43	EAWAG-PPS	2455
8	8	1.7515274949083504	43	EAWAG-PPS	2455
9	9	1.7515274949083504	43	EAWAG-PPS	2455
10	10	1.7515274949083504	43	EAWAG-PPS	2455
0	0	0.0	0	eP-BBD	0
1	1	7.349081364829396	28	eP-BBD	381
2	2	3.611349957007739	42	eP-BBD	1163
3	3	2.7777777777777777	49	eP-BBD	1764
4	4	2.4402390438247012	49	eP-BBD	2008
5	5	2.311320754716981	49	eP-BBD	2120
6	6	2.255985267034991	49	eP-BBD	2172
7	7	2.2202084277299505	49	eP-BBD	2207
8	8	2.1982951996410947	49	eP-BBD	2229
9	9	2.1875	49	eP-BBD	2240
10	10	2.176810306530431	49	eP-BBD	2251
0	0	0.0	0	eP-BBD+SOIL	0
1	1	5.416666666666667	26	eP-BBD+SOIL	480
2	2	2.836411609498681	43	eP-BBD+SOIL	1516
3	3	2.475728155339806	51	eP-BBD+SOIL	2060
4	4	2.4725274725274726	54	eP-BBD+SOIL	2184
5	5	2.4204392649036306	54	eP-BBD+SOIL	2231
6	6	2.4096385542168677	54	eP-BBD+SOIL	2241
7	7	2.404274265360641	54	eP-BBD+SOIL	2246
8	8	2.3989338071968014	54	eP-BBD+SOIL	2251
9	9	2.396804260985353	54	eP-BBD+SOIL	2253
10	10	2.396804260985353	54	eP-BBD+SOIL	2253
0	0	0.0	0	eP-BBD+SLUDGE	0
1	1	6.367924528301887	27	eP-BBD+SLUDGE	424
2	2	3.2089552238805967	43	eP-BBD+SLUDGE	1340
3	3	2.6217228464419478	49	eP-BBD+SLUDGE	1869
4	4	2.4355300859598854	51	eP-BBD+SLUDGE	2094
5	5	2.3319615912208507	51	eP-BBD+SLUDGE	2187
6	6	2.2931654676258995	51	eP-BBD+SLUDGE	2224
7	7	2.2829006266786034	51	eP-BBD+SLUDGE	2234
8	8	2.2737405260811414	51	eP-BBD+SLUDGE	2243
9	9	2.265659706796979	51	eP-BBD+SLUDGE	2251
10	10	2.263648468708389	51	eP-BBD+SLUDGE	2253
0	0	0.0	0	eP-BBD+SOIL+SLUDGE	0
1	1	6.105263157894736	29	eP-BBD+SOIL+SLUDGE	475
2	2	2.8967254408060454	46	eP-BBD+SOIL+SLUDGE	1588
3	3	2.484169508037019	51	eP-BBD+SOIL+SLUDGE	2053
4	4	2.3319615912208507	51	eP-BBD+SOIL+SLUDGE	2187
5	5	2.2778025904421617	51	eP-BBD+SOIL+SLUDGE	2239
6	6	2.265659706796979	51	eP-BBD+SOIL+SLUDGE	2251
7	7	2.263648468708389	51	eP-BBD+SOIL+SLUDGE	2253
8	8	2.263648468708389	51	eP-BBD+SOIL+SLUDGE	2253
9	9	2.263648468708389	51	eP-BBD+SOIL+SLUDGE	2253
10	10	2.263648468708389	51	eP-BBD+SOIL+SLUDGE	2253
