	Maximum TP threshold	Precision (in %)	Correctly predicted TPs	Prediction method	Predicted compounds
0	0	0.0	0	eP-BBD	0
1	1	0.0	0	eP-BBD	0
2	2	13.043478260869565	6	eP-BBD	46
3	3	11.956521739130435	11	eP-BBD	92
4	4	10.144927536231885	14	eP-BBD	138
5	5	8.19672131147541	15	eP-BBD	183
6	6	8.333333333333332	19	eP-BBD	228
7	7	7.6923076923076925	21	eP-BBD	273
8	8	7.547169811320755	24	eP-BBD	318
9	9	7.7134986225895315	28	eP-BBD	363
10	10	7.107843137254902	29	eP-BBD	408
11	11	6.622516556291391	30	eP-BBD	453
12	12	6.024096385542169	30	eP-BBD	498
13	13	5.893186003683241	32	eP-BBD	543
14	14	5.782312925170068	34	eP-BBD	588
15	15	5.529225908372828	35	eP-BBD	633
16	16	5.3097345132743365	36	eP-BBD	678
17	17	5.117565698478561	37	eP-BBD	723
18	18	5.078125	39	eP-BBD	768
19	19	5.043050430504305	41	eP-BBD	813
20	20	4.895104895104895	42	eP-BBD	858
21	21	4.761904761904762	43	eP-BBD	903
22	22	4.5358649789029535	43	eP-BBD	948
23	23	4.33031218529708	43	eP-BBD	993
24	24	4.238921001926782	44	eP-BBD	1038
25	25	4.062788550323177	44	eP-BBD	1083
26	26	4.078014184397164	46	eP-BBD	1128
27	27	3.9215686274509802	46	eP-BBD	1173
28	28	3.858784893267652	47	eP-BBD	1218
29	29	3.721298495645289	47	eP-BBD	1263
30	30	3.5932721712538225	47	eP-BBD	1308
31	31	3.473762010347376	47	eP-BBD	1353
32	32	3.3619456366237483	47	eP-BBD	1398
33	33	3.2571032571032568	47	eP-BBD	1443
34	34	3.1586021505376345	47	eP-BBD	1488
35	35	3.0658838878016956	47	eP-BBD	1533
36	36	2.9784537389100127	47	eP-BBD	1578
37	37	2.895871842267406	47	eP-BBD	1623
38	38	2.877697841726619	48	eP-BBD	1668
39	39	2.8021015761821366	48	eP-BBD	1713
40	40	2.7303754266211606	48	eP-BBD	1758
41	41	2.7176927343316692	49	eP-BBD	1803
42	42	2.6515151515151514	49	eP-BBD	1848
43	43	2.588483888008452	49	eP-BBD	1893
44	44	2.5283797729618165	49	eP-BBD	1938
45	45	2.4710035300050426	49	eP-BBD	1983
46	46	2.4161735700197235	49	eP-BBD	2028
47	47	2.363724071394115	49	eP-BBD	2073
48	48	2.313503305004722	49	eP-BBD	2118
49	49	2.26537216828479	49	eP-BBD	2163
50	50	2.2192028985507246	49	eP-BBD	2208
0	0	0.0	0	eP-BBD+SOIL	0
1	1	0.0	0	eP-BBD+SOIL	0
2	2	10.869565217391305	5	eP-BBD+SOIL	46
3	3	9.782608695652174	9	eP-BBD+SOIL	92
4	4	9.420289855072465	13	eP-BBD+SOIL	138
5	5	7.650273224043716	14	eP-BBD+SOIL	183
6	6	7.017543859649122	16	eP-BBD+SOIL	228
7	7	7.6923076923076925	21	eP-BBD+SOIL	273
8	8	7.547169811320755	24	eP-BBD+SOIL	318
9	9	6.887052341597796	25	eP-BBD+SOIL	363
10	10	6.127450980392156	25	eP-BBD+SOIL	408
11	11	6.181015452538632	28	eP-BBD+SOIL	453
12	12	6.2248995983935735	31	eP-BBD+SOIL	498
13	13	6.077348066298343	33	eP-BBD+SOIL	543
14	14	5.782312925170068	34	eP-BBD+SOIL	588
15	15	5.687203791469194	36	eP-BBD+SOIL	633
16	16	5.3097345132743365	36	eP-BBD+SOIL	678
17	17	5.255878284923928	38	eP-BBD+SOIL	723
18	18	4.947916666666666	38	eP-BBD+SOIL	768
19	19	4.797047970479705	39	eP-BBD+SOIL	813
20	20	4.778554778554779	41	eP-BBD+SOIL	858
21	21	4.651162790697675	42	eP-BBD+SOIL	903
22	22	4.5358649789029535	43	eP-BBD+SOIL	948
23	23	4.431017119838873	44	eP-BBD+SOIL	993
24	24	4.335260115606936	45	eP-BBD+SOIL	1038
25	25	4.1551246537396125	45	eP-BBD+SOIL	1083
26	26	4.078014184397164	46	eP-BBD+SOIL	1128
27	27	4.0068201193520885	47	eP-BBD+SOIL	1173
28	28	3.858784893267652	47	eP-BBD+SOIL	1218
29	29	3.721298495645289	47	eP-BBD+SOIL	1263
30	30	3.5932721712538225	47	eP-BBD+SOIL	1308
31	31	3.473762010347376	47	eP-BBD+SOIL	1353
32	32	3.4334763948497855	48	eP-BBD+SOIL	1398
33	33	3.3264033264033266	48	eP-BBD+SOIL	1443
34	34	3.293010752688172	49	eP-BBD+SOIL	1488
35	35	3.1963470319634704	49	eP-BBD+SOIL	1533
36	36	3.1051964512040557	49	eP-BBD+SOIL	1578
37	37	3.080714725816389	50	eP-BBD+SOIL	1623
38	38	2.997601918465228	50	eP-BBD+SOIL	1668
39	39	2.918855808523059	50	eP-BBD+SOIL	1713
