	smiles	name	combined_p	p	generation	confirmed	data_origin	rank
0	Nc1nccn2c(C3CCCN3)nc(-c3ccc(C(=O)Nc4ccccn4)cc3)c12	TP_Aca_1	0.4	0.4	1	False	BBD	2.0
1	CC#CC(=O)O	TP_Aca_2	0.4	0.4	1	False	BBD	3.0
2	CC=CC(=O)N1CCCC1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12	TP_Aca_3	0.3	0.3	1	False	BBD	4.0
3	Nc1ccccn1	TP_Aca_4	0.12	0.1	2	False	BBD	5.0
4	Nc1nccn2c(C3CCCN3)nc(-c3ccc(C(=O)O)cc3)c12	TP_Aca_5	0.12	0.3	2	False	BBD	6.0
5	CC=CC(=O)O	TP_Aca_6	0.12	0.3	2	False	BBD	7.0
6	CC#CC(=O)N1CCCC1c1nc(-c2ccc(C(=O)O)cc2)c2c(N)nccn12	TP_Aca_7	0.1	0.1	1	False	BBD	8.0
7	CC=CC(=O)N1CCCC1c1nc(-c2ccc(C(=O)O)cc2)c2c(N)nccn12	TP_Aca_8	0.03	0.1	2	False	BBD	9.0
8	NCCCC(=O)c1nc(-c2ccc(C(=O)O)cc2)c2c(N)nccn12	TP_Aca_9	0.012	0.1	3	False	BBD	10.0
9	Nc1nccn2c(C(N)CCC=O)nc(-c3ccc(C(=O)O)cc3)c12	TP_Aca_10	0.012	0.1	3	False	BBD	11.0
10	Nc1nccn2c(C(N)CCC(=O)O)nc(-c3ccc(C(=O)O)cc3)c12	TP_Aca_11	0.0036	0.3	4	False	BBD	12.0
11	Nc1nccn2c(C(N)CCC=O)nc(-c3ccccc3)c12	TP_Aca_12	0.0024000000000000002	0.2	4	False	BBD	13.0
12	NCCCC(=O)c1nc(-c2ccccc2)c2c(N)nccn12	TP_Aca_13	0.0012000000000000001	0.1	4	False	BBD	14.0
13	Nc1nccn2c(C(=O)CCC=O)nc(-c3ccc(C(=O)O)cc3)c12	TP_Aca_14	0.0012000000000000001	0.0	4	False	BBD	15.0
14	N	TP_Aca_15	0.0012000000000000001	0.0	4	False	BBD	16.0
