Number of predicted TPs per parent (without considering overlap): 
Parent	EAWAG_BBD-PPS_round_2	enviPath-BBD_1	enviPath-BBD+SOIL_2	enviPath-BBD+SLUDGE_3	enviPath-BBD+SOIL+SLUDGE_4	Total predicted TPs	Found	Overall Precision
Acalabrutinib	15	50	50	50	50	89	0	0.0%
Aliskiren fumarate	164	50	50	50	50	231	1	0.43%
Amlodipine besylate	15	50	50	50	50	78	1	1.28%
Atazanavir sulfate	53	50	50	50	50	144	0	0.0%
Atomoxetine	23	50	50	50	50	100	1	1.0%
Atovaquone	9	50	50	50	50	84	0	0.0%
Budesonide	24	50	50	50	50	85	0	0.0%
Canagliflozin hydrate	105	50	50	50	50	124	1	0.81%
Ceritinib	14	50	50	50	50	140	0	0.0%
Clopidogrel bisulfate	47	50	50	50	50	110	5	4.55%
Clotrimazol	9	50	50	50	50	68	0	0.0%
Dapagliflozin	100	50	50	50	50	144	1	0.69%
Dasatinib	79	50	50	50	50	156	1	0.64%
Dienogest	14	50	50	50	50	94	0	0.0%
Dolutegravir sodium	54	50	49	50	49	147	1	0.68%
Duloxetine	26	50	50	50	50	89	0	0.0%
Efavirenz	8	50	50	50	50	64	0	0.0%
Ezetimibe	18	50	50	50	50	85	2	2.35%
Fexofenadine	28	50	50	50	50	111	4	3.6%
Fingolimod hydrochloride	4	50	50	50	50	84	0	0.0%
Hydrochlorothiazide	29	50	50	50	50	118	0	0.0%
Irbesartan	33	50	50	50	49	129	4	3.1%
Keto-desogestrel	18	50	50	50	50	108	1	0.93%
Lumiracoxib	22	50	50	50	50	94	1	1.06%
Metformin hydrochloride	3	3	3	3	3	3	0	0.0%
Mirtazapine	121	50	50	50	50	149	3	2.01%
Mometasone furoate	56	50	50	50	50	148	0	0.0%
Naloxegol	441	50	50	50	50	472	0	0.0%
Nilotinib	44	49	50	50	50	174	0	0.0%
Olanzapine	45	50	50	50	50	137	2	1.46%
Omeprazole	32	50	50	50	50	117	1	0.85%
Orlistat	25	50	50	50	50	102	0	0.0%
Panobinostat lactate	19	50	50	49	50	80	3	3.75%
Pemetrexed	43	50	50	50	50	160	3	1.88%
Pioglitazone hydrochloride	43	50	50	50	50	109	4	3.67%
Quetiapine fumarate	51	50	50	50	50	141	7	4.96%
Regorafenib	14	50	50	50	50	74	0	0.0%
Ridaforolimus	23	50	50	50	50	175	0	0.0%
Rivastigmine hydrochloride	31	50	50	50	50	87	3	3.45%
Rosuvastatin calcium	27	50	50	50	50	130	4	3.08%
Tadalafil	13	50	50	50	50	95	1	1.05%
Terbinafine hydrochloride	39	50	50	50	50	138	6	4.35%
Ticagrelor	86	50	50	50	50	136	2	1.47%
Valsartan	57	50	49	50	50	120	3	2.5%
Vildagliptin	14	50	50	50	50	88	1	1.14%
Vorinostat	19	50	50	50	50	59	0	0.0%
